COMMUNE_CODE,COMMUNE_NOM,NATIONALITE_ISO3,NATIONALITE_NOM,NOMBRE_TOTAL
1101,Beaufort,ERI,érythréenne,31
1101,Beaufort,ETH,éthiopienne,6
1101,Beaufort,AFG,afghane,9
1101,Beaufort,ALB,albanaise,5
1101,Beaufort,DZA,algérienne,6
1101,Beaufort,DEU,allemande,106
1101,Beaufort,USA,américaine,10
1101,Beaufort,AGO,angolaise,1
1101,Beaufort,AUT,autrichienne,8
1101,Beaufort,BGD,bangladaise,1
1101,Beaufort,BEL,belge,61
1101,Beaufort,BLR,biélorusse,3
1101,Beaufort,BRA,brésilienne,15
1101,Beaufort,GBR,britannique,23
1101,Beaufort,BGR,bulgare,7
1101,Beaufort,CPV,caboverdienne,4
1101,Beaufort,CMR,camerounaise,4
1101,Beaufort,CAN,canadienne,5
1101,Beaufort,CHN,chinoise,15
1101,Beaufort,HRV,croate,7
1101,Beaufort,DNK,danoise,3
1101,Beaufort,BIH,de Bosnie-Herzégovine,9
1101,Beaufort,GNB,de Guinée-Bissau,4
1101,Beaufort,STP,de Sao Tomé-et-Principe,3
1101,Beaufort,MKD,de la Macédoine du Nord,4
1101,Beaufort,ESP,espagnole,12
1101,Beaufort,EST,estonienne,4
1101,Beaufort,FRA,française,95
1101,Beaufort,GMB,gambienne,3
1101,Beaufort,GRC,grecque,7
1101,Beaufort,GIN,guinéenne,2
1101,Beaufort,HUN,hongroise,13
1101,Beaufort,IND,indienne,1
1101,Beaufort,IDN,indonésienne,2
1101,Beaufort,IRQ,iraquienne,6
1101,Beaufort,IRL,irlandaise,9
1101,Beaufort,ISL,islandaise,1
1101,Beaufort,ITA,italienne,66
1101,Beaufort,XXK,kosovare,4
1101,Beaufort,LTU,lituanienne,4
1101,Beaufort,LUX,luxembourgeoise,1836
1101,Beaufort,MYS,malaisienne,1
1101,Beaufort,MLI,malienne,6
1101,Beaufort,MLT,maltaise,2
1101,Beaufort,MAR,marocaine,4
1101,Beaufort,MUS,mauricienne,4
1101,Beaufort,MEX,mexicaine,1
1101,Beaufort,MNE,monténégrine,6
1101,Beaufort,NLD,néerlandaise,48
1101,Beaufort,NGA,nigériane,2
1101,Beaufort,NOR,norvégienne,3
1101,Beaufort,PER,péruvienne,4
1101,Beaufort,PAK,pakistanaise,4
1101,Beaufort,PHL,philippine,4
1101,Beaufort,POL,polonaise,29
1101,Beaufort,PRT,portugaise,917
1101,Beaufort,ROU,roumaine,34
1101,Beaufort,RUS,russe,16
1101,Beaufort,RWA,rwandaise,4
1101,Beaufort,SEN,sénégalaise,1
1101,Beaufort,SRB,serbe,13
1101,Beaufort,SVK,slovaque,5
1101,Beaufort,SOM,somalienne,13
1101,Beaufort,SWE,suédoise,1
1101,Beaufort,KOR,sud-coréenne,1
1101,Beaufort,CHE,suisse,8
1101,Beaufort,SYR,syrienne,27
1101,Beaufort,CZE,tchèque,10
1101,Beaufort,THA,thaïlandaise,5
1101,Beaufort,TGO,togolaise,2
1101,Beaufort,TUN,tunisienne,11
1101,Beaufort,TUR,turque,5
1101,Beaufort,UKR,ukrainienne,22
1101,Beaufort,VEN,vénézuélienne,5
1101,Beaufort,ZWE,zimbabwéenne,6
1102,Bech,ERI,érythréenne,1
1102,Bech,AFG,afghane,6
1102,Bech,DZA,algérienne,2
1102,Bech,DEU,allemande,50
1102,Bech,USA,américaine,7
1102,Bech,ARG,argentine,1
1102,Bech,AUS,australienne,1
1102,Bech,AUT,autrichienne,7
1102,Bech,BEL,belge,39
1102,Bech,BLR,biélorusse,2
1102,Bech,BRA,brésilienne,21
1102,Bech,GBR,britannique,35
1102,Bech,BGR,bulgare,1
1102,Bech,CHL,chilienne,1
1102,Bech,HRV,croate,2
1102,Bech,DNK,danoise,6
1102,Bech,BIH,de Bosnie-Herzégovine,2
1102,Bech,MKD,de la Macédoine du Nord,4
1102,Bech,ESP,espagnole,5
1102,Bech,FRA,française,73
1102,Bech,GRC,grecque,5
1102,Bech,HUN,hongroise,2
1102,Bech,IND,indienne,2
1102,Bech,IRL,irlandaise,7
1102,Bech,ITA,italienne,55
1102,Bech,JPN,japonaise,1
1102,Bech,KEN,kényane,2
1102,Bech,XXK,kosovare,1
1102,Bech,LVA,lettonne,2
1102,Bech,LBN,libanaise,3
1102,Bech,LTU,lituanienne,2
1102,Bech,LUX,luxembourgeoise,1031
1102,Bech,MLT,maltaise,1
1102,Bech,MAR,marocaine,8
1102,Bech,MNE,monténégrine,9
1102,Bech,NLD,néerlandaise,18
1102,Bech,NGA,nigériane,1
1102,Bech,NOR,norvégienne,2
1102,Bech,POL,polonaise,14
1102,Bech,PRT,portugaise,114
1102,Bech,ROU,roumaine,12
1102,Bech,SEN,sénégalaise,1
1102,Bech,SRB,serbe,4
1102,Bech,CHE,suisse,2
1102,Bech,SYR,syrienne,3
1102,Bech,THA,thaïlandaise,1
1102,Bech,TGO,togolaise,1
1102,Bech,TUN,tunisienne,1
1102,Bech,TUR,turque,2
